adsfS0-PP10_R1.fastq	yanzeli-0001_Experiment_0007	fastq	6a4c88f9be57b9ec2da09cb24d778efa
Run	S0-PP40_R2.fastq	yanzeli-0001_Experiment_0031	fastq	47cb090a011445f11fa36b61bca5cada
Run	S0-PP41_R1.fastq	yanzeli-0001_Experiment_0032	fastq	aa1e71ec7c407f691c489adea04903df
Run	S0-PP41_R2.fastq	yanzeli-0001_Experiment_0032	fastq	33a7baaf91dcbe03b3ec522e40bd3e30
Run	S0-PP44_R1.fastq	yanzeli-0001_Experiment_0033	fastq	1df7611b1b2dc50ecdf05ea7fd8dda41
Run	S0-PP44_R2.fastq	yanzeli-0001_Experiment_0033	fastq	2ac8820d70dcf9e9ae3992f673de5b52
Run	S0-PP45c26_R1.fastq	yanzeli-0001_Experiment_0035	fastq	e83eebd4d30b9da83eb89d15b1d60337
Run	S0-PP45c26_R2.fastq	yanzeli-0001_Experiment_0035	fastq	d88efeff705b2fa73ba0743fe0fe76d0
Run	S0-PP45c38_R1.fastq	yanzeli-0001_Experiment_0036	fastq	d94db52019602c06fd6635c35df69f5d
Run	S0-PP45c38_R2.fastq	yanzeli-0001_Experiment_0036	fastq	c6409519d2836960aa8e2e96305e02d1
Run	S0-PP45_R1.fastq	yanzeli-0001_Experiment_0034	fastq	977b02824146a99363dae04fdf480b90
Run	S0-PP45_R2.fastq	yanzeli-0001_Experiment_0034	fastq	71d17389480888a8141c3c2e95a4a5b0
Run	S0-PP46_R1.fastq	yanzeli-0001_Experiment_0037	fastq	4fcf704c9cc8276c69900579b7a6ebb9
Run	S0-PP46_R2.fastq	yanzeli-0001_Experiment_0037	fastq	1c90d69f1a08250f68e768b97837454d
Run	S0-PP48_R1.fastq	yanzeli-0001_Experiment_0038	fastq	320c1eb38c3d2336c3363609d3ff9055
Run	S0-PP48_R2.fastq	yanzeli-0001_Experiment_0038	fastq	ff5464f6e4f39e26b7d387fae1077ae5
Run	S0-PP4_R1.fastq	yanzeli-0001_Experiment_0003	fastq	2b7c820260f367f08b85acdbdfd6c653
Run	S0-PP4_R2.fastq	yanzeli-0001_Experiment_0003	fastq	daa2e45dde99e7660dfdf6d176429490
Run	S0-PP50_R1.fastq	yanzeli-0001_Experiment_0039	fastq	cc1dadfb2d497b91075b3f0eee842c45
Run	S0-PP50_R2.fastq	yanzeli-0001_Experiment_0039	fastq	86f50e636ec55f51257c121ba13a632b
Run	S0-PP51_R1.fastq	yanzeli-0001_Experiment_0040	fastq	415de4010b62cd0f85356f90f43a37fa
Run	S0-PP51_R2.fastq	yanzeli-0001_Experiment_0040	fastq	80e7f4170930b4d388136a12c2cdcb41
Run	S0-PP52_R1.fastq	yanzeli-0001_Experiment_0041	fastq	87d7bc7ab61ff0dc99cd9c7087e2068c
Run	S0-PP52_R2.fastq	yanzeli-0001_Experiment_0041	fastq	efdb3291ac59111c25c19c63aef719d8
Run	S0-PP53_R1.fastq	yanzeli-0001_Experiment_0042	fastq	17a51f47b858a769612752fa6623e89f
Run	S0-PP53_R2.fastq	yanzeli-0001_Experiment_0042	fastq	1c6a09c7b4889fdffba0858aeb9efb66
Run	S0-PP54_R1.fastq	yanzeli-0001_Experiment_0043	fastq	062209c8c1b0c555df83d906238f3530
Run	S0-PP54_R2.fastq	yanzeli-0001_Experiment_0043	fastq	78370d87c2df0f4c4db4c9e4a20bc70e
Run	S0-PP55_R1.fastq	yanzeli-0001_Experiment_0044	fastq	7bd9101c6fc130480f750f456385b4df
Run	S0-PP55_R2.fastq	yanzeli-0001_Experiment_0044	fastq	4e17b74b9fd6222773c88968ac99839d
Run	S0-PP56_R1.fastq	yanzeli-0001_Experiment_0045	fastq	e9ad781d7b3302733f1a9abe633ba9d7
Run	S0-PP56_R2.fastq	yanzeli-0001_Experiment_0045	fastq	616340e2fbee8fe5757bd2bf28d58711
Run	S0-PP59_R1.fastq	yanzeli-0001_Experiment_0046	fastq	7e5e99f5d53a63b8487a4e26fd534088
Run	S0-PP59_R2.fastq	yanzeli-0001_Experiment_0046	fastq	0fa027c2f3e906e53290cea384e33757
Run	S0-PP5_R1.fastq	yanzeli-0001_Experiment_0004	fastq	326d8af52cbd5b532bf219170695eb39
Run	S0-PP5_R2.fastq	yanzeli-0001_Experiment_0004	fastq	34871c16d8de339fcf4cdd2f1dcb8948
Run	S0-PP60_R1.fastq	yanzeli-0001_Experiment_0047	fastq	aaf39a1a50455f59f4f4a37a8bae9a4f
Run	S0-PP60_R2.fastq	yanzeli-0001_Experiment_0047	fastq	461ec870f8c47165f822f4c4a89f4f82
Run	S0-PP61_R1.fastq	yanzeli-0001_Experiment_0048	fastq	8cd54b4d260185ea0f8a8d4a71e93cd2
Run	S0-PP61_R2.fastq	yanzeli-0001_Experiment_0048	fastq	71aca90ee9b73cb442a876e066ad2988
Run	S0-PP63_R1.fastq	yanzeli-0001_Experiment_0049	fastq	7a9539d7901fb6721e03a94ac0bde6fa
Run	S0-PP63_R2.fastq	yanzeli-0001_Experiment_0049	fastq	064d1296868b86e08dbad91a1c81cbb3
Run	S0-PP64_R1.fastq	yanzeli-0001_Experiment_0050	fastq	bac1abd9da2a3142d548b8b0e2753e97
Run	S0-PP64_R2.fastq	yanzeli-0001_Experiment_0050	fastq	405263534adfdd35713b3cf429fdd731
Run	S0-PP65_R1.fastq	yanzeli-0001_Experiment_0051	fastq	566b24fa9c395e56ef9674f8b4704f80
Run	S0-PP65_R2.fastq	yanzeli-0001_Experiment_0051	fastq	271da0d4dfcae3b2cf8f14a87117b1ae
Run	S0-PP66_R1.fastq	yanzeli-0001_Experiment_0052	fastq	a6819f87d0b04f0cd5c89c63721ef59a
Run	S0-PP66_R2.fastq	yanzeli-0001_Experiment_0052	fastq	9b6a571f0a00138df6f32157ead62cc8
Run	S0-PP68_R1.fastq	yanzeli-0001_Experiment_0053	fastq	ac007d37cc6ce93a5d182657e391921c
Run	S0-PP68_R2.fastq	yanzeli-0001_Experiment_0053	fastq	c5f08146b625b5f2ab50dd0e62a10edf
Run	S0-PP69_R1.fastq	yanzeli-0001_Experiment_0054	fastq	db246ffe33901830524e8723cc30964c
Run	S0-PP69_R2.fastq	yanzeli-0001_Experiment_0054	fastq	f7ac5e42e7075b29486bf36db052dda4
Run	S0-PP70_R1.fastq	yanzeli-0001_Experiment_0055	fastq	2353f29964860afbf97a15721393950c
Run	S0-PP70_R2.fastq	yanzeli-0001_Experiment_0055	fastq	82175f7bc27976316b171ef54a8003ad
Run	S0-PP71_R1.fastq	yanzeli-0001_Experiment_0056	fastq	dae268646dbbb81946c986605ad4622c
Run	S0-PP71_R2.fastq	yanzeli-0001_Experiment_0056	fastq	f37eae31c5b275d60f923b6ed35ea83d
Run	S0-PP72_R1.fastq	yanzeli-0001_Experiment_0057	fastq	7df9f71d086488e4a16e8f1ab6c38185
Run	S0-PP72_R2.fastq	yanzeli-0001_Experiment_0057	fastq	0dcc83e344430fb72bc7bba25736e878
Run	S0-PP73_R1.fastq	yanzeli-0001_Experiment_0058	fastq	bba2c9002ce7e71a2f9d66fef7690cfb
Run	S0-PP73_R2.fastq	yanzeli-0001_Experiment_0058	fastq	18ec7bafe12416227ffd3ec990931dbb
Run	S0-PP75_R1.fastq	yanzeli-0001_Experiment_0059	fastq	b8ada4e49dd83af90429054d2ae91920
Run	S0-PP75_R2.fastq	yanzeli-0001_Experiment_0059	fastq	b1106251786956e6ddaec11c5c092928
Run	S0-PP77_R1.fastq	yanzeli-0001_Experiment_0060	fastq	00b346a95475b66f30f22ed88ee61522
Run	S0-PP77_R2.fastq	yanzeli-0001_Experiment_0060	fastq	074ad2347af81b367cd788dd17a02534
Run	S0-PP81_R1.fastq	yanzeli-0001_Experiment_0061	fastq	2e84d3279daa06e05f55285eb59fd0fc
Run	S0-PP81_R2.fastq	yanzeli-0001_Experiment_0061	fastq	d9c42fd597e24e8c675f72db699bc746
Run	S0-PP82_R1.fastq	yanzeli-0001_Experiment_0062	fastq	d1dcf2e769a6287258e14dc7052e2a63
Run	S0-PP82_R2.fastq	yanzeli-0001_Experiment_0062	fastq	32ba588e5ddbfc3e8e50018f9ae185bb
Run	S0-PP8_R1.fastq	yanzeli-0001_Experiment_0005	fastq	a52cc9e674f6a3c5dfdea7d58b560041
Run	S0-PP8_R2.fastq	yanzeli-0001_Experiment_0005	fastq	e6970ddb968c1579735320101906816f
Run	S0-PP9_R1.fastq	yanzeli-0001_Experiment_0006	fastq	0fa4615a4716f530c11118c29c753f74
Run	S0-PP9_R2.fastq	yanzeli-0001_Experiment_0006	fastq	6bf38005863e72af6f89e01398424035
